ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2018-09-12T16:26:02Z,henwttch,"iOS 11.2.6 (iPhone9,1)",239466,US,147.126.10.153,unknown,I Care,Beyoncé,4,spotify:track:76KTeba6u3LfBL4EsCZaTe,,,,fwdbtn,trackdone,True,,False,1536769268305,False
2019-02-09T07:09:50Z,henwttch,"iOS 12.1.2 (iPhone9,1)",4160,US,147.126.10.153,unknown,Lost,Frank Ocean,channel ORANGE,spotify:track:3GZD6HmiNUhxXYf8Gch723,,,,fwdbtn,fwdbtn,False,,False,1549696185318,False
2019-12-11T00:14:58Z,henwttch,"iOS 13.1.3 (iPhone11,8)",110919,US,147.126.10.156,unknown,Lonesome Love,Mitski,Be the Cowboy,spotify:track:5hgWjrfgnDb29uCaQ1UovU,,,,trackdone,trackdone,False,,False,1576023186461,False
2017-12-15T18:31:34Z,henwttch,"iOS 10.3.2 (iPhone8,1)",177381,US,99.203.15.56,unknown,Electric Feel,MGMT,Oracular Spectacular,spotify:track:3FtYbEfBqAlGO46NUDQSAt,,,,trackdone,fwdbtn,True,,False,1513362514999,False
2020-08-30T03:56:54Z,henwttch,"iOS 13.6.1 (iPhone11,8)",297268,US,108.204.107.107,unknown,Missing U,Robyn,Honey,spotify:track:5mE2RcGPPbE4gNoLB6FYPf,,,,trackdone,trackdone,False,,False,1598759516395,False
2020-09-04T17:35:59Z,henwttch,"iOS 13.6.1 (iPhone11,8)",215481,US,108.204.107.107,unknown,Headlock,Imogen Heap,Speak for Yourself,spotify:track:7vTENp2sLS3sPY5z4npYNr,,,,trackdone,trackdone,True,,False,1599240743306,False
2020-05-24T22:47:57Z,henwttch,"iOS 13.4.1 (iPhone11,8)",4318,US,166.175.186.16,unknown,Sober II (Melodrama),Lorde,Melodrama,spotify:track:54ucfuN596MU25jQD3KjCL,,,,clickrow,endplay,True,,False,1590360472512,False
2021-11-08T23:18:27Z,henwttch,"iOS 14.8 (iPhone11,8)",171897,US,166.175.189.242,unknown,Anthony Kiedis,Remi Wolf,Juno,spotify:track:3xJu5hrOU9OvFQSGLQiwQS,,,,trackdone,trackdone,True,,False,1636413334976,True
2022-05-30T21:09:24Z,henwttch,"iOS 15.5 (iPhone11,8)",577199,TR,88.239.7.48,unknown,Venice Bitch,Lana Del Rey,Norman Fucking Rockwell!,spotify:track:3hwQhakFwm9soLEBnSDH17,,,,trackdone,trackdone,True,,True,1653860786859,False
2017-09-14T02:56:02Z,henwttch,"iOS 10.3.2 (iPhone8,1)",119914,US,143.195.39.107,unknown,Se Encendio el Beeper,Oro Solido,5to Aniversario,spotify:track:1HuFNbUHLoh4gFa1UjCdkq,,,,clickrow,endplay,False,,False,0,False
2021-06-15T05:42:10Z,henwttch,"iOS 14.4 (iPhone11,8)",240600,US,207.237.209.35,unknown,White Flag,Dido,Life For Rent,spotify:track:3adnLFXKO5rC1lhUNSeg3N,,,,trackdone,trackdone,True,,False,1623735488720,False
2018-07-15T06:40:35Z,henwttch,"iOS 11.2.6 (iPhone9,1)",197573,US,24.15.102.177,unknown,God is a woman,Ariana Grande,God is a woman,spotify:track:7gkWXbAxIYuvtOpcN3p9GJ,,,,clickrow,trackdone,True,,False,1531636638338,False
2017-07-29T20:24:13Z,henwttch,"iOS 10.3.2 (iPhone8,1)",191053,US,24.15.102.177,unknown,With A Little Help From My Friends,Joe Anderson,Across The Universe,spotify:track:6Q0eEMbUBJNQe2sZXDzY2j,,,,trackdone,trackdone,True,,False,0,False
2019-10-13T05:30:28Z,henwttch,"iOS 13.1.2 (iPhone11,8)",7601,US,147.126.10.153,unknown,Swine,Lady Gaga,ARTPOP,spotify:track:6AczxDV0grtXZZ7h8xI5cS,,,,trackdone,fwdbtn,True,,False,1570944618337,False
2020-04-07T21:28:46Z,henwttch,"iOS 13.3.1 (iPhone11,8)",206360,US,99.55.204.166,unknown,Stroke,BANKS,III,spotify:track:01a0H5HPeCMOktdRMygi3t,,,,trackdone,trackdone,True,,False,1586294719338,False
2019-03-23T20:21:28Z,henwttch,"iOS 12.1.2 (iPhone9,1)",32341,US,147.126.10.153,unknown,Juice,Lizzo,Tempo (feat. Missy Elliott),spotify:track:68NXcaBtQoTqHTfItHUf6E,,,,trackdone,endplay,False,,False,1553372454668,False
2020-07-05T04:29:59Z,henwttch,"iOS 13.5.1 (iPhone11,8)",8724,US,166.175.60.103,unknown,Fun Tonight,Lady Gaga,Chromatica,spotify:track:6hyQVqfHFvsJDjcmj4qrHf,,,,trackdone,fwdbtn,True,,False,1593923388603,False
2017-03-23T08:25:32Z,henwttch,"iOS 9.3.5 (iPhone8,1)",1300,US,24.15.106.81,unknown,Some Nights,fun.,Some Nights,spotify:track:0kR4Gn7FljUY4t8SKIFyZh,,,,fwdbtn,fwdbtn,True,,False,0,False
2021-08-16T03:19:06Z,henwttch,"iOS 14.4 (iPhone11,8)",295600,US,207.237.209.35,unknown,Fade Into You,Mazzy Star,So Tonight That I Might See,spotify:track:1LzNfuep1bnAUR9skqdHCK,,,,trackdone,trackdone,True,,False,1629083649421,False
2017-09-15T05:25:50Z,henwttch,Windows 7 (6.1.7601; x64; SP1; S),227666,US,143.195.251.145,unknown,Irreplaceable,Beyoncé,B'Day,spotify:track:1G7DcLzPnopdZjLkev0K4e,,,,trackdone,trackdone,True,,False,1505452923760,False
2017-06-26T19:04:45Z,henwttch,"iOS 9.3.5 (iPhone8,1)",426,US,24.1.237.116,unknown,Chandelier - Plastic Plates Remix,Sia,1000 Forms Of Fear (Deluxe Version),spotify:track:22yTrQldM6Pu8CONxbFVpS,,,,fwdbtn,fwdbtn,True,,False,0,False
2018-09-28T15:10:23Z,henwttch,"iOS 11.2.6 (iPhone9,1)",275080,US,147.126.10.153,unknown,Love Galore (feat. Travis Scott),SZA,Ctrl,spotify:track:0q75NwOoFiARAVp4EXU4Bs,,,,trackdone,trackdone,False,,False,1538147147449,False
2022-07-05T05:55:11Z,henwttch,"iOS 15.5 (iPhone11,8)",66362,US,207.237.209.35,unknown,you slow me down - demo,toon,you slow me down,spotify:track:0zQAVpsVbCx72gsVBGokfV,,,,trackdone,endplay,True,,False,1657000443058,False
2020-03-30T07:02:29Z,henwttch,"iOS 13.3.1 (iPhone11,8)",212213,US,99.55.204.166,unknown,Is It Cold In The Water?,SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES,spotify:track:292h0AOEEmddv9wIWnrDl4,,,,trackdone,trackdone,False,,False,1585551536723,False
2017-06-27T04:54:59Z,henwttch,"iOS 9.3.5 (iPhone8,1)",51269,US,24.1.237.116,unknown,Come To Mama,Lady Gaga,Joanne,spotify:track:5YWHg9507fUXvtdSW3x6cF,,,,fwdbtn,fwdbtn,True,,False,0,False
2022-02-10T20:45:41Z,henwttch,"iOS 14.8.1 (iPhone11,8)",209346,US,147.126.10.154,unknown,I Wear Your Ring,Cocteau Twins,Heaven or Las Vegas,spotify:track:20nCwr4GiOZ02PVePsuLEd,,,,trackdone,trackdone,True,,False,1644525731313,False
2022-03-08T15:11:11Z,henwttch,"iOS 14.8.1 (iPhone11,8)",13760,US,166.175.63.31,unknown,Venice Bitch,Lana Del Rey,Norman Fucking Rockwell!,spotify:track:3hwQhakFwm9soLEBnSDH17,,,,clickrow,endplay,True,,False,1646752257012,False
