ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2021-01-09T19:49:02Z,henwttch,"iOS 14.2 (iPhone11,8)",187506,US,108.204.107.107,unknown,Perfect - 2015 Remaster,Alanis Morissette,Jagged Little Pill,spotify:track:71MfSDt9aSa43hcFQNYW8w,,,,trackdone,trackdone,False,,False,1610221554150,False
2017-06-16T21:56:24Z,henwttch,"iOS 9.3.5 (iPhone8,1)",6267,US,24.1.237.116,unknown,Liability (Reprise),Lorde,Melodrama,spotify:track:6lFDB0BFDRV58qaQDX85jV,,,,trackdone,fwdbtn,True,,False,0,False
2022-07-18T18:45:24Z,henwttch,"iOS 15.5 (iPhone11,8)",184973,US,207.237.209.35,unknown,Buttons,Steve Lacy,Gemini Rights,spotify:track:4CzLJ2wsrk1QdhXXuT16gx,,,,trackdone,trackdone,False,,False,1658169738556,False
2018-10-20T17:49:35Z,henwttch,"iOS 11.2.6 (iPhone9,1)",229640,US,147.126.10.153,unknown,Electric Feel,MGMT,Oracular Spectacular,spotify:track:3FtYbEfBqAlGO46NUDQSAt,,,,clickrow,trackdone,True,,False,1540057545836,False
2014-09-22T21:03:17Z,henwttch,"iOS 7.1.2 (iPhone4,1)",299613,US,166.147.103.229,unknown,All Of The Lights,Kanye West,My Beautiful Dark Twisted Fantasy,spotify:track:22L7bfCiAkJo5xGSQgmiIO,,,,fwdbtn,trackdone,True,False,False,0,False
2019-01-13T19:07:16Z,henwttch,"iOS 12.1.2 (iPhone9,1)",172106,US,24.15.102.177,unknown,everytime,Ariana Grande,Sweetener,spotify:track:0WdR2AyLW1Drd3OUdwezM0,,,,trackdone,trackdone,True,,False,1547406263290,False
2017-01-08T22:39:10Z,henwttch,"iOS 9.3.5 (iPhone8,1)",0,US,66.87.77.196,unknown,Roman Reloaded,Nicki Minaj,Roman Reloaded,spotify:track:48Hvcz6fmERdkrFpIQ0CVn,,,,fwdbtn,fwdbtn,True,,False,0,False
2022-08-22T08:20:10Z,henwttch,"iOS 15.6 (iPhone11,8)",10986,US,207.237.209.35,unknown,Clouds,Slayyyter,Troubled Paradise,spotify:track:5VQJSlO979CuYLiu8zyHtT,,,,clickrow,endplay,False,,False,1661156398499,False
2021-06-16T18:24:32Z,henwttch,"iOS 14.4 (iPhone11,8)",233426,US,207.237.209.35,unknown,Somebody Like Me,St. Vincent,Daddy's Home,spotify:track:4AL1LM9QhlfRE7vwVsRbta,,,,trackdone,trackdone,True,,False,1623867637600,False
2018-07-01T16:07:26Z,henwttch,"iOS 11.2.6 (iPhone9,1)",165791,US,24.15.102.177,unknown,Super Bass,Nicki Minaj,Pink Friday,spotify:track:0iYebKFUSfF72fUu2OW6ZT,,,,fwdbtn,endplay,True,,False,1530460830108,False
2020-03-29T05:01:25Z,henwttch,"iOS 13.3.1 (iPhone11,8)",212853,US,99.55.204.166,unknown,Girls on Film - 2010 Remaster,Duran Duran,Duran Duran,spotify:track:4EFkvOhgAmlHEfDfvfSoh5,,,,trackdone,trackdone,True,,False,1585457871799,False
2021-02-15T20:18:50Z,henwttch,"iOS 14.4 (iPhone11,8)",206373,US,108.204.107.107,unknown,Holland,Sufjan Stevens,Michigan,spotify:track:3pujvaVvZRu8VO5LZvxAXq,,,,trackdone,trackdone,True,,False,1613420122824,False
2020-01-28T19:58:55Z,henwttch,"iOS 13.3 (iPhone11,8)",191845,US,147.126.10.21,unknown,The Apple,V V Brown,Samson & Delilah,spotify:track:3lbACcyksmS6zkefSxKyub,,,,trackdone,trackdone,False,,False,1580241342576,False
2022-07-30T12:31:03Z,henwttch,"iOS 15.5 (iPhone11,8)",83892,US,207.237.209.35,unknown,CHURCH GIRL,Beyoncé,RENAISSANCE,spotify:track:2mqTtvbKxH7SoEQ2oGAnsA,,,,trackdone,logout,False,,False,1659167966152,False
2022-01-22T21:20:16Z,henwttch,"iOS 14.8.1 (iPhone11,8)",239306,US,207.237.209.35,unknown,Atrévete-Te-Te,Calle 13,Calle 13 (Explicit Version),spotify:track:1q8NdCAQ9QUjpYiqzdd3mv,,,,trackdone,trackdone,True,,False,1642886176411,False
2017-05-29T18:31:43Z,henwttch,"iOS 9.3.5 (iPhone8,1)",99574,US,66.87.77.74,unknown,All the Rowboats,Regina Spektor,What We Saw from the Cheap Seats,spotify:track:5rSlEtSKiOYivDFChX3FRW,,,,trackdone,fwdbtn,True,,False,0,False
2019-09-21T17:25:48Z,henwttch,"iOS 12.4.1 (iPhone11,8)",1790,US,107.77.208.32,unknown,Pulaski at Night,Andrew Bird,I Want to See Pulaski at Night,spotify:track:3v6NuKeDbFbaq1lNjw3XtR,,,,trackdone,fwdbtn,True,,False,1569086744793,False
2019-05-16T05:55:14Z,henwttch,"iOS 12.2 (iPhone9,1)",244453,US,73.36.189.15,unknown,Into You,Ariana Grande,Dangerous Woman,spotify:track:2meEiZKWkiN28gITzFwQo5,,,,trackdone,trackdone,True,,False,1557985868979,False
2016-07-09T15:49:04Z,henwttch,"iOS 9.3.2 (iPhone8,1)",43328,US,66.87.77.168,unknown,Love On The Brain,Rihanna,ANTI,spotify:track:4JlYrtPZlMWkhCiMrLHUrP,,,,fwdbtn,fwdbtn,True,,False,0,False
2020-10-26T19:10:12Z,henwttch,"iOS 13.7 (iPhone11,8)",87038,US,166.175.185.135,unknown,Your Body Changes Everything,Perfume Genius,Set My Heart On Fire Immediately,spotify:track:0iG3mAyMzBJPelgMs5xUAj,,,,appload,trackdone,False,,False,1603739079864,False
2019-07-17T21:01:41Z,henwttch,"iOS 12.3.1 (iPhone9,1)",0,US,99.203.15.135,unknown,Fireworks,Mitski,Puberty 2,spotify:track:5ZGaGCHi0YrSvsjj6QwETb,,,,trackdone,endplay,True,,False,1563397298853,False
2022-04-19T20:05:57Z,henwttch,"iOS 15.4.1 (iPhone11,8)",161962,US,207.237.209.35,unknown,Small Talk,Katy Perry,Small Talk,spotify:track:4NmE2ytXI8S2svTRSmEdpO,,,,clickrow,trackdone,False,,False,1650398595750,False
2017-11-15T21:35:02Z,henwttch,"iOS 10.3.2 (iPhone8,1)",141909,US,99.203.143.1,unknown,Young Folks,Peter Bjorn and John,Writer's Block,spotify:track:6M6UoxIPn4NOWW0x7JPRfv,,,,clickrow,endplay,True,,False,1510781556645,False
2020-03-03T06:23:31Z,henwttch,"iOS 13.3.1 (iPhone11,8)",223986,US,99.55.204.166,unknown,Super Natural (feat. Carly Rae Jepsen),Danny L Harle,Super Natural (feat. Carly Rae Jepsen),spotify:track:1tODhJU9HBb1ScNMXxZY1A,,,,playbtn,trackdone,True,,False,1583216388309,False
2018-02-24T04:27:54Z,henwttch,"iOS 10.3.2 (iPhone8,1)",233853,US,99.203.15.197,unknown,Take It Out On Me,Chairlift,Something,spotify:track:2eMaAZGaSBXcfWFTVbxUW1,,,,trackdone,trackdone,True,,False,1519446239205,False
2019-03-21T01:00:23Z,henwttch,"iOS 12.1.2 (iPhone9,1)",233853,US,147.126.10.21,unknown,Take It Out On Me,Chairlift,Something,spotify:track:2eMaAZGaSBXcfWFTVbxUW1,,,,trackdone,trackdone,False,,False,1553129788588,False
2020-08-26T02:58:28Z,henwttch,"iOS 13.6.1 (iPhone11,8)",2554,US,108.204.107.107,unknown,Bags,Clairo,Immunity,spotify:track:6UFivO2zqqPFPoQYsEMuCc,,,,fwdbtn,fwdbtn,False,,False,1598410705555,False
2020-04-21T17:51:19Z,henwttch,"iOS 13.3.1 (iPhone11,8)",196400,US,99.55.204.166,unknown,Flamboyant,Dorian Electra,Flamboyant (Deluxe),spotify:track:6BUJCYAqUjb6vRz3ln8a87,,,,trackdone,trackdone,False,,False,1587491282547,False
2018-09-18T01:30:22Z,henwttch,"iOS 11.2.6 (iPhone9,1)",0,US,147.126.10.153,unknown,Lost In The World,Kanye West,My Beautiful Dark Twisted Fantasy,spotify:track:2Im64pIz6m0EJKdUe6eZ8r,,,,fwdbtn,endplay,False,,False,1537234216472,False
2021-01-09T07:45:18Z,henwttch,"iOS 14.2 (iPhone11,8)",8126,US,108.204.107.107,unknown,Walking on Broken Glass,Annie Lennox,Diva,spotify:track:4CcSw8wQAHYf4XNckayPoc,,,,clickrow,endplay,True,,False,1610178309477,False
2015-03-01T22:05:04Z,henwttch,"iOS 8.1.2 (iPhone5,3)",16671,US,69.136.170.168,unknown,Heavy Metal Lover,Lady Gaga,Born This Way,spotify:track:4D6MvQ3FnVrPkYhq5WsN6H,,,,fwdbtn,fwdbtn,False,True,False,0,False
2020-09-19T03:53:32Z,henwttch,"iOS 13.7 (iPhone11,8)",212213,US,108.204.107.107,unknown,Is It Cold In The Water?,SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES,spotify:track:292h0AOEEmddv9wIWnrDl4,,,,trackdone,trackdone,False,,False,1600487399078,False
2017-10-07T20:48:50Z,henwttch,"iOS 10.3.2 (iPhone8,1)",141697,US,24.15.102.177,unknown,Firewood,Regina Spektor,What We Saw from the Cheap Seats,spotify:track:0WhfZdLd8dXoVXUTJaKR8a,,,,trackdone,endplay,True,,False,1507409186795,False
2021-01-08T23:52:12Z,henwttch,"iOS 14.2 (iPhone11,8)",219028,US,108.204.107.107,unknown,Don't Forget About Me,Noname,Room 25,spotify:track:4XNncEnP3zZBpTlJuepmCX,,,,trackdone,trackdone,True,,False,1610149683469,False
2017-05-09T04:27:15Z,henwttch,"iOS 9.3.5 (iPhone8,1)",0,US,66.87.76.4,unknown,Cloud,Sia,We Are Born,spotify:track:0Ww6Lu3x7IBz8ojum4JHRu,,,,fwdbtn,fwdbtn,False,,False,0,False
2020-09-19T17:53:23Z,henwttch,"iOS 13.7 (iPhone11,8)",221720,US,108.204.107.107,unknown,26,Paramore,After Laughter,spotify:track:2EcQY09CYgJ1qk6H1qZf8h,,,,trackdone,trackdone,True,,False,1600537780673,False
2020-11-17T05:09:31Z,henwttch,"iOS 13.7 (iPhone11,8)",277800,US,108.204.107.107,unknown,Mary Jane Holland,Lady Gaga,ARTPOP,spotify:track:0gMpKudmJ2ljDVAdIe9DmR,,,,trackdone,trackdone,True,,False,1605589400478,False
2020-11-10T21:41:04Z,henwttch,"iOS 13.7 (iPhone11,8)",9520,US,108.204.107.107,unknown,DE AQUÍ NO SALES - Cap.4: Disputa,ROSALÍA,El Mal Querer,spotify:track:0CaiddWO1F3v4nTQGgfk9A,,,,clickrow,endplay,False,,False,1605044454619,False
2022-03-29T22:22:53Z,henwttch,"iOS 14.8.1 (iPhone11,8)",318040,US,207.237.209.35,unknown,Black Bathing Suit,Lana Del Rey,Blue Banisters,spotify:track:2LQGoKFKkZ9yk3UeYFj2xo,,,,trackdone,trackdone,True,,False,1648592254757,False
2020-09-27T03:05:20Z,henwttch,"iOS 13.7 (iPhone11,8)",225266,US,99.55.204.166,unknown,Warm (feat. HAIM),Charli XCX,Charli,spotify:track:2xHEAdEalJ5YcP0ur8kF6L,,,,trackdone,trackdone,True,,False,1601175694241,False
2022-04-07T08:23:21Z,henwttch,"iOS 14.8.1 (iPhone11,8)",238033,US,207.237.209.35,unknown,Fallen Fruit,Lorde,Solar Power,spotify:track:49fjmXPiG9wOctT2RpMqJz,,,,trackdone,trackdone,False,,False,1649319562542,False
2019-09-15T04:23:04Z,henwttch,"iOS 12.4.1 (iPhone11,8)",246006,US,147.126.10.21,unknown,Kill V. Maim,Grimes,Art Angels,spotify:track:17eu2pSgSUpIG1GFWBnODv,,,,fwdbtn,trackdone,True,,False,1568521138493,False
2021-09-21T18:00:59Z,henwttch,"iOS 14.7.1 (iPhone11,8)",174164,US,207.237.209.35,unknown,SCOOP (feat. Doja Cat),Lil Nas X,MONTERO,spotify:track:6bpq1jGkVz66Q3LYeoXdjZ,,,,trackdone,trackdone,False,,False,1632247084385,False
2020-08-24T02:03:08Z,henwttch,"iOS 13.6 (iPhone11,8)",157706,US,166.170.223.236,unknown,Sour Candy (with BLACKPINK),Lady Gaga,Chromatica,spotify:track:1IWNylpZ477gIVUDpJL66u,,,,trackdone,trackdone,True,,False,1598234430131,False
2021-02-03T00:30:57Z,henwttch,"iOS 14.3 (iPhone11,8)",299093,US,108.204.107.107,unknown,Ye Yo - Live Version,Erykah Badu,Live,spotify:track:7DChMyOPgTlDTZKe5oYXn9,,,,trackdone,trackdone,False,,False,1612311927979,False
2020-07-12T22:44:09Z,henwttch,"iOS 13.5.1 (iPhone11,8)",157360,US,108.204.107.107,unknown,toothless,100 gecs,1000 gecs and The Tree of Clues,spotify:track:4u2jCma9zHR59lfKxBIOoy,,,,trackdone,trackdone,False,,False,1594593691817,False
2021-01-03T02:47:00Z,henwttch,"iOS 14.2 (iPhone11,8)",295937,US,108.204.107.107,unknown,Prologue,Ichiko Aoba,Windswept Adan,spotify:track:2jLnnjX5L6YwtbShPiz2ws,,,,clickrow,trackdone,False,,False,1609641724166,False
2019-09-05T23:15:23Z,henwttch,"iOS 12.4 (iPhone9,1)",2438,US,99.203.14.49,unknown,You've Been Flirting Again,Björk,Post,spotify:track:2lJSlVayNDdEZuPqlIPPcm,,,,fwdbtn,fwdbtn,False,,False,1567725320331,False
2020-11-03T19:12:04Z,henwttch,"iOS 13.7 (iPhone11,8)",167989,US,108.204.107.107,unknown,motive (with Doja Cat),Ariana Grande,Positions,spotify:track:5GkQIP5mWPi4KZLLXeuFTT,,,,trackdone,trackdone,False,,False,1604430555851,False
