ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2021-12-29T22:10:31Z,henwttch,"iOS 14.8.1 (iPhone11,8)",226026,US,98.226.19.89,unknown,I Know Alone,HAIM,Women In Music Pt. III,spotify:track:0mACL7DVghZNMTJPectgoW,,,,trackdone,trackdone,False,,False,1640815604398,False
2019-02-04T20:41:56Z,henwttch,"iOS 12.1.2 (iPhone9,1)",9066,US,147.126.10.153,unknown,Daydream Believer,The Monkees,"The Birds, The Bees, & The Monkees",spotify:track:7uEcCGtM1FBBGIhPozhJjv,,,,clickrow,unexpected-exit-while-paused,False,,False,1549299649238,False
2016-06-09T21:46:13Z,henwttch,"iOS 9.3.2 (iPhone8,1)",132501,US,67.184.131.189,unknown,Lost,Frank Ocean,channel ORANGE,spotify:track:3GZD6HmiNUhxXYf8Gch723,,,,fwdbtn,endplay,True,,False,0,False
2020-02-20T03:58:13Z,henwttch,"iOS 13.3.1 (iPhone11,8)",8042,US,147.126.10.129,unknown,Lost,Frank Ocean,channel ORANGE,spotify:track:3GZD6HmiNUhxXYf8Gch723,,,,fwdbtn,fwdbtn,False,,False,1582171085293,False
2020-12-20T18:29:37Z,henwttch,"iOS 14.2 (iPhone11,8)",297146,US,108.204.107.107,unknown,Run-Time,Imogen Heap,Sparks (Deluxe Version),spotify:track:0i25ceFw9EqR3kTBqErNWC,,,,trackdone,trackdone,True,,False,1608488679612,False
2019-06-26T03:50:29Z,henwttch,"iOS 12.3.1 (iPhone9,1)",252893,US,99.203.143.53,unknown,Heart Of Glass - Single Version / Remastered,Blondie,Heart Of Glass,spotify:track:5lQOzJmQladWC4kLQClssB,,,,playbtn,trackdone,True,,False,1561520776523,False
2018-08-03T20:24:37Z,henwttch,"iOS 11.2.6 (iPhone9,1)",254862,US,99.203.14.219,unknown,Clear the Area,Imogen Heap,Speak for Yourself,spotify:track:3PLdEsVTOSGidpxCh4PZtw,,,,trackdone,trackdone,True,,False,1533323622545,False
2017-06-21T22:31:31Z,henwttch,"iOS 9.3.5 (iPhone8,1)",178639,US,66.87.77.59,unknown,Sober II (Melodrama),Lorde,Melodrama,spotify:track:54ucfuN596MU25jQD3KjCL,,,,fwdbtn,trackdone,True,,False,0,False
2016-12-22T06:58:36Z,henwttch,"iOS 9.3.5 (iPhone8,1)",11563,US,68.250.117.37,unknown,The Fire,Imogen Heap,Ellipse,spotify:track:7wUS29aCKBN3zx1hlRBcxQ,,,,fwdbtn,fwdbtn,True,,False,0,False
2015-04-11T16:44:02Z,henwttch,"iOS 8.3 (iPhone5,3)",252546,US,67.184.131.189,unknown,Heavy Metal Lover,Lady Gaga,Born This Way,spotify:track:5yhw9YeXOh3kYCn2NII9bW,,,,trackdone,trackdone,True,False,False,0,False
