ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2020-04-21T19:09:47Z,henwttch,"iOS 13.3.1 (iPhone11,8)",92963,US,99.55.204.166,unknown,Adam & Steve,Dorian Electra,Flamboyant (Deluxe),spotify:track:3Xd8E9h5g9yHDePArG2nlW,,,,trackdone,unexpected-exit-while-paused,False,,False,1587492320140,False
2018-05-13T07:08:39Z,henwttch,"iOS 11.2.6 (iPhone9,1)",25658,US,24.15.102.177,unknown,cycles,Tove Lo,BLUE LIPS,spotify:track:5rUETOajWWAqpjamjDD4cT,,,,fwdbtn,fwdbtn,False,,False,1526195292956,False
2014-09-02T02:04:50Z,henwttch,"iOS 7.1.2 (iPhone4,1)",3715,US,69.136.170.168,unknown,Trebles Finals: Bright Lights Bigger City/Magic,The Treblemakers,Pitch Perfect Soundtrack,spotify:track:7zgveKrOxukG95vxIO3KHd,,,,,fwdbtn,False,True,False,0,False
2018-05-28T05:55:57Z,henwttch,"iOS 11.2.6 (iPhone9,1)",191573,US,99.203.15.183,unknown,Disco Inferno - Single Edit,The Trammps,Rhino Hi-Five: The Trammps,spotify:track:22ff60cZy4APp7bzESHLR8,,,,trackdone,trackdone,True,,False,1527486764237,False
2020-11-05T18:26:50Z,henwttch,"iOS 13.7 (iPhone11,8)",172324,US,108.204.107.107,unknown,positions,Ariana Grande,Positions,spotify:track:35mvY5S1H3J2QZyna3TFe0,,,,trackdone,trackdone,True,,False,1604600636336,False
2015-12-31T07:42:49Z,henwttch,"iOS 9.2 (iPhone8,1)",1439,US,67.184.131.189,unknown,FU (feat. French Montana),Miley Cyrus,Bangerz (Deluxe Version),spotify:track:6dDIOU6AqgLkrjFNPgvKY6,,,,fwdbtn,fwdbtn,True,True,False,0,False
2021-11-13T14:26:18Z,henwttch,"iOS 14.8.1 (iPhone11,8)",171897,US,166.175.188.34,unknown,Anthony Kiedis,Remi Wolf,Juno,spotify:track:3xJu5hrOU9OvFQSGLQiwQS,,,,trackdone,trackdone,False,,False,1636813405648,False
2019-03-22T04:26:12Z,henwttch,"iOS 12.1.2 (iPhone9,1)",175987,US,147.126.10.153,unknown,Tempo (feat. Missy Elliott),Lizzo,Tempo (feat. Missy Elliott),spotify:track:4LRKHjC3WH5AKZSGZzlnGk,,,,clickrow,trackdone,False,,False,1553228596421,False
2022-06-27T06:20:08Z,henwttch,"iOS 15.5 (iPhone11,8)",12610,US,98.226.19.89,unknown,Navy Blue,MUNA,Saves The World,spotify:track:62fQs5LcdcyambpTxDnjmi,,,,fwdbtn,endplay,True,,False,1656310794952,False
2021-06-10T03:55:15Z,henwttch,"iOS 14.4 (iPhone11,8)",240600,US,207.237.209.35,unknown,White Flag,Dido,Life For Rent,spotify:track:3adnLFXKO5rC1lhUNSeg3N,,,,playbtn,trackdone,True,,False,1623297075358,False
