ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2020-09-17T17:26:36Z,henwttch,"iOS 13.7 (iPhone11,8)",324013,US,108.204.107.107,unknown,One More Year,Tame Impala,The Slow Rush,spotify:track:5ozqshq2dtU7SYCpCBu0NE,,,,trackdone,trackdone,False,,False,1600363270967,False
2014-08-14T01:27:02Z,henwttch,"iOS 7.1 (iPhone4,1)",167200,US,24.12.167.53,unknown,Bounce,Iggy Azalea,The New Classic,spotify:track:4HG4m7fTqM51MMl6JLD1PA,,,,fwdbtn,trackdone,True,False,False,0,False
2021-08-30T22:57:26Z,henwttch,"iOS 14.7.1 (iPhone11,8)",3790,US,207.237.209.35,unknown,TASTY,Shygirl,ALIAS,spotify:track:3V3ijKDFFwPM9ADBAW41XQ,,,,clickrow,endplay,True,,False,1630364242127,False
2018-09-28T20:23:38Z,henwttch,"iOS 11.2.6 (iPhone9,1)",214432,US,99.203.142.51,unknown,Monster,Kanye West,My Beautiful Dark Twisted Fantasy,spotify:track:1ZHYJ2Wwgxes4m8Ba88PeK,,,,clickrow,trackdone,False,,False,1538166004529,False
2021-05-02T04:30:45Z,henwttch,"iOS 14.4 (iPhone11,8)",249191,US,24.148.42.122,unknown,Ivy,Frank Ocean,Blonde,spotify:track:2ZWlPOoWh0626oTaHrnl2a,,,,trackdone,trackdone,False,,False,1619929595562,False
2018-10-02T03:47:09Z,henwttch,"iOS 11.2.6 (iPhone9,1)",193429,US,147.126.10.156,unknown,Nobody,Mitski,Be the Cowboy,spotify:track:6bTn1ovliI0OkjUNkiMBJq,,,,clickrow,trackdone,False,,False,1538451836273,False
2021-05-28T18:11:58Z,henwttch,"iOS 14.4 (iPhone11,8)",3413,US,166.175.62.60,unknown,Nobody,Mitski,Be the Cowboy,spotify:track:6bTn1ovliI0OkjUNkiMBJq,,,,clickrow,endplay,False,,False,1622225514796,False
2016-06-23T04:21:54Z,henwttch,"iOS 9.3.2 (iPhone8,1)",704,US,67.184.131.189,unknown,Too Good,Drake,Views,spotify:track:7fJtPlEZKxu6gvkfBFc5tW,,,,fwdbtn,fwdbtn,True,,False,0,False
2018-07-17T19:39:14Z,henwttch,"iOS 11.2.6 (iPhone9,1)",1996,US,99.203.14.61,unknown,Barbie Tingz,Nicki Minaj,Barbie Tingz,spotify:track:2qsQ8eVDPmobZpvDxQCVQu,,,,fwdbtn,fwdbtn,True,,False,1531856351370,False
2018-04-13T22:12:36Z,henwttch,"iOS 11.2.6 (iPhone9,1)",266820,US,99.203.14.217,unknown,Barbie Tingz,Nicki Minaj,Barbie Tingz,spotify:track:2qsQ8eVDPmobZpvDxQCVQu,,,,clickrow,endplay,False,,False,1523657260555,False
