ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2021-06-26T18:37:51Z,henwttch,"iOS 14.4 (iPhone11,8)",177933,US,166.175.185.236,unknown,Kite - 2018 Remaster,Kate Bush,The Kick Inside,spotify:track:08ecqo1fk855nqFKWSfLiF,,,,trackdone,trackdone,True,,False,1624732492688,False
2019-05-18T17:57:41Z,henwttch,"iOS 12.2 (iPhone9,1)",307,US,73.36.189.15,unknown,Moon River (From Breakfast at Tiffany's) [Remastered],Audrey Hepburn,Moon River (Breakfast at Tiffany's) [Remastered],spotify:track:1XwAKjAZ1xDZOcuyZoqce4,,,,trackdone,endplay,True,,False,1558202259341,False
2020-11-19T03:57:09Z,henwttch,"iOS 13.7 (iPhone11,8)",3366,US,108.204.107.107,unknown,la luz(Fín),Kali Uchis,la luz(Fín),spotify:track:6eKvp8MA5pIIDiksqdP3wO,,,,fwdbtn,fwdbtn,True,,False,1605758225547,False
2017-08-13T07:20:34Z,henwttch,Windows 7 (6.1.7601; x64; SP1; S),107906,US,24.15.102.177,unknown,Paperback Writer - Remastered 2015,The Beatles,1,spotify:track:0Ui8KPWZbJJQ2Y0CIQuVqX,,,,trackdone,remote,True,,False,1502589945064,False
2019-02-03T00:49:47Z,henwttch,"iOS 12.1.2 (iPhone9,1)",4223,US,147.126.10.153,unknown,Something - Remastered 2009,The Beatles,Abbey Road,spotify:track:0pNeVovbiZHkulpGeOx1Gj,,,,fwdbtn,fwdbtn,False,,False,1549154982311,False
2018-04-12T04:30:36Z,henwttch,"iOS 11.2.6 (iPhone9,1)",98564,US,99.203.143.0,unknown,my boy,Billie Eilish,dont smile at me,spotify:track:1RGasjWLZ4qMN7wbtkLa3u,,,,trackdone,endplay,False,,False,1523496112215,False
2020-01-24T04:17:08Z,henwttch,"iOS 13.3 (iPhone11,8)",272246,US,147.126.10.21,unknown,In Time,FKA twigs,M3LL155X,spotify:track:4R33D1MJAnb07J1x3AQgDG,,,,trackdone,trackdone,False,,False,1579839155127,False
2018-04-28T23:29:35Z,henwttch,"iOS 11.2.6 (iPhone9,1)",580,US,24.15.102.177,unknown,Strawberries & Cigarettes,Troye Sivan,"Love, Simon (Original Motion Picture Soundtrack)",spotify:track:2z7UKVsBdbA7HFPunDKDP4,,,,fwdbtn,fwdbtn,True,,False,1524958174205,False
2020-03-23T20:10:56Z,henwttch,"iOS 13.3.1 (iPhone11,8)",323013,US,99.55.204.166,unknown,The Predatory Wasp of The Palisades Is Out To Get Us,Sufjan Stevens,Illinois,spotify:track:2JQ9wMmURQMY5ysth04rHO,,,,trackdone,trackdone,False,,False,1584993932366,False
2020-05-25T01:54:54Z,henwttch,"iOS 13.4.1 (iPhone11,8)",215481,US,166.175.186.16,unknown,Headlock,Imogen Heap,Speak for Yourself,spotify:track:7vTENp2sLS3sPY5z4npYNr,,,,trackdone,trackdone,True,,False,1590371478303,False
2018-09-16T00:56:40Z,henwttch,"iOS 11.2.6 (iPhone9,1)",214826,US,147.126.10.153,unknown,September,"Earth, Wind & Fire",The Eternal Dance,spotify:track:5nNmj1cLH3r4aA4XDJ2bgY,,,,fwdbtn,trackdone,True,,False,1537059185656,False
2020-12-12T17:57:30Z,henwttch,"iOS 14.2 (iPhone11,8)",0,US,108.204.107.107,unknown,Second Hand News - 2004 Remaster,Fleetwood Mac,Rumours,spotify:track:4SZhxF0sIS8nDvwhT0Tt2V,,,,clickrow,endplay,True,,False,1607795849377,False
2019-11-16T22:09:00Z,henwttch,"iOS 13.1.3 (iPhone11,8)",144541,US,147.126.10.21,unknown,DE AQUÍ NO SALES - Cap.4: Disputa,ROSALÍA,El Mal Querer,spotify:track:0CaiddWO1F3v4nTQGgfk9A,,,,trackdone,trackdone,False,,False,1573941995336,False
