ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2017-02-14T21:32:12Z,henwttch,"iOS 9.3.5 (iPhone8,1)",661,US,66.87.76.184,unknown,Dirrty (feat. Redman),Christina Aguilera,Stripped,spotify:track:59ZTxQo8rBycIXPLUIKvE2,,,,fwdbtn,fwdbtn,True,,False,0,False
2020-10-04T17:05:46Z,henwttch,"iOS 13.7 (iPhone11,8)",4318,US,108.204.107.107,unknown,Heavy Balloon,Fiona Apple,Fetch The Bolt Cutters,spotify:track:2OQpQTRogZ1AhnUHJiT9Nb,,,,fwdbtn,fwdbtn,False,,False,1601831141656,False
2020-04-04T07:22:51Z,henwttch,"iOS 13.3.1 (iPhone11,8)",3434,US,99.55.204.166,unknown,I Wonder (Departure),ABBA,The Album,spotify:track:4Dmr0pWEDkXmdShYNFBWut,,,,clickrow,endplay,False,,False,1585984967170,False
2018-08-31T22:49:08Z,henwttch,"iOS 11.2.6 (iPhone9,1)",172106,US,147.126.10.156,unknown,everytime,Ariana Grande,Sweetener,spotify:track:0WdR2AyLW1Drd3OUdwezM0,,,,trackdone,trackdone,True,,False,1535755575229,False
2016-09-15T23:14:06Z,henwttch,"iOS 9.3.5 (iPhone8,1)",1346,US,66.87.77.200,unknown,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,Planet Pit,spotify:track:3QFbOgWOqXEtOD02FMcX7K,,,,backbtn,fwdbtn,True,,False,0,False
2018-04-18T03:39:32Z,henwttch,"iOS 11.2.6 (iPhone9,1)",174320,US,99.203.15.250,unknown,American Idiot,Green Day,American Idiot,spotify:track:45zvStEMsXp8z45OQRhWFJ,,,,trackdone,trackdone,True,,False,1524022596487,False
2016-12-19T01:31:02Z,henwttch,"iOS 9.3.5 (iPhone8,1)",1920,US,68.250.117.37,unknown,Roman Reloaded,Nicki Minaj,Roman Reloaded,spotify:track:48Hvcz6fmERdkrFpIQ0CVn,,,,fwdbtn,fwdbtn,True,,False,0,False
2020-11-16T16:41:52Z,henwttch,"iOS 13.7 (iPhone11,8)",235733,US,108.204.107.107,unknown,Aura,Lady Gaga,ARTPOP,spotify:track:3fibIzbkYbvTmdoD5u2nPm,,,,backbtn,trackdone,True,,False,1605544677161,False
2017-08-29T05:51:02Z,henwttch,"iOS 10.3.2 (iPhone8,1)",231360,US,99.203.143.185,unknown,Bastards,Kesha,Rainbow,spotify:track:318EGw5ZZB8U5MdMWQwxZQ,,,,clickrow,trackdone,True,,False,0,False
2022-06-22T21:48:54Z,henwttch,"iOS 15.5 (iPhone11,8)",198160,US,166.175.190.38,unknown,20 Something,SZA,Ctrl,spotify:track:4h6ViRoztTBpWcJ1zFT9Zg,,,,trackdone,trackdone,True,,False,1655934334711,False
